ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-12-31,2.8212811527131416,-4.379903273483082,3.467707056416681,2.8212811527131416,2.8212811527131416,-3.3554549829722813,-3.3554549829722813,-3.3554549829722813,-3.3554549829722813,-3.3554549829722813,-3.3554549829722813,0.0,0.0,0.0,-0.5341738302591397
2018-01-07,2.9175707516174536,-4.256521805732701,3.4493155698549094,2.9175707516174536,2.9175707516174536,-3.2582824822613166,-3.2582824822613166,-3.2582824822613166,-3.2582824822613166,-3.2582824822613166,-3.2582824822613166,0.0,0.0,0.0,-0.34071173064386295
2018-01-14,3.0138603505288013,-2.4127953729874774,5.50164176088321,3.0138603505288013,3.0138603505288013,-1.4804149820746266,-1.4804149820746266,-1.4804149820746266,-1.4804149820746266,-1.4804149820746266,-1.4804149820746266,0.0,0.0,0.0,1.5334453684541747
2018-01-21,3.110149949440149,-0.1825321183281888,7.413762607237837,3.110149949440149,3.110149949440149,0.6091044567986403,0.6091044567986403,0.6091044567986403,0.6091044567986403,0.6091044567986403,0.6091044567986403,0.0,0.0,0.0,3.7192544062387896
2018-01-28,3.206439548380414,0.7196356055678483,8.179463079820739,3.206439548380414,3.206439548380414,1.424867603850417,1.424867603850417,1.424867603850417,1.424867603850417,1.424867603850417,1.424867603850417,0.0,0.0,0.0,4.631307152230831
2018-02-04,3.302729147320679,0.1238164640511349,8.207601038368926,3.302729147320679,3.302729147320679,0.8311000349288101,0.8311000349288101,0.8311000349288101,0.8311000349288101,0.8311000349288101,0.8311000349288101,0.0,0.0,0.0,4.133829182249489
2018-02-11,3.399018746221643,0.03971197696497615,7.605965158345823,3.399018746221643,3.399018746221643,0.32512885304028566,0.32512885304028566,0.32512885304028566,0.32512885304028566,0.32512885304028566,0.32512885304028566,0.0,0.0,0.0,3.724147599261929
2018-02-18,3.4953083451520177,0.6619156842824522,8.539400370830975,3.4953083451520177,3.4953083451520177,1.3703322316151487,1.3703322316151487,1.3703322316151487,1.3703322316151487,1.3703322316151487,1.3703322316151487,0.0,0.0,0.0,4.865640576767166
2018-02-25,3.591597944082393,3.3724031622298036,11.168056728828976,3.591597944082393,3.591597944082393,3.657463746134508,3.657463746134508,3.657463746134508,3.657463746134508,3.657463746134508,3.657463746134508,0.0,0.0,0.0,7.249061690216901
2018-03-04,3.6878875430393827,5.107674627212573,12.82647807550087,3.6878875430393827,3.6878875430393827,5.294166767619945,5.294166767619945,5.294166767619945,5.294166767619945,5.294166767619945,5.294166767619945,0.0,0.0,0.0,8.982054310659327
2018-03-11,3.7841771419963726,4.679990654268997,12.794842095516277,3.7841771419963726,3.7841771419963726,4.797821624465085,4.797821624465085,4.797821624465085,4.797821624465085,4.797821624465085,4.797821624465085,0.0,0.0,0.0,8.581998766461457
2018-03-18,3.8804667409931315,2.582578989760076,10.359854041791804,3.8804667409931315,3.8804667409931315,2.684294888751555,2.684294888751555,2.684294888751555,2.684294888751555,2.684294888751555,2.684294888751555,0.0,0.0,0.0,6.5647616297446865
2018-03-25,3.9767563399809935,0.7685231117713832,8.874605443161425,3.9767563399809935,3.9767563399809935,0.8669694094271369,0.8669694094271369,0.8669694094271369,0.8669694094271369,0.8669694094271369,0.8669694094271369,0.0,0.0,0.0,4.84372574940813
2018-04-01,4.073045938968855,0.6385664793567964,8.46818800519471,4.073045938968855,4.073045938968855,0.5764061268516008,0.5764061268516008,0.5764061268516008,0.5764061268516008,0.5764061268516008,0.5764061268516008,0.0,0.0,0.0,4.649452065820456
2018-04-08,4.16933553793387,1.519474480631023,9.604990277887623,4.16933553793387,4.16933553793387,1.182000901797736,1.182000901797736,1.182000901797736,1.182000901797736,1.182000901797736,1.182000901797736,0.0,0.0,0.0,5.351336439731606
2018-04-15,4.265625136898884,1.4659943236173725,9.416631579236796,4.265625136898884,4.265625136898884,1.1893581107900473,1.1893581107900473,1.1893581107900473,1.1893581107900473,1.1893581107900473,1.1893581107900473,0.0,0.0,0.0,5.454983247688931
2018-04-22,4.361914735828171,0.586813960013938,8.446083503357071,4.361914735828171,4.361914735828171,0.12916301484660106,0.12916301484660106,0.12916301484660106,0.12916301484660106,0.12916301484660106,0.12916301484660106,0.0,0.0,0.0,4.491077750674773
2018-04-29,4.45820433471301,-0.28155000775983796,7.611719213244688,4.45820433471301,4.45820433471301,-0.9250816069552156,-0.9250816069552156,-0.9250816069552156,-0.9250816069552156,-0.9250816069552156,-0.9250816069552156,0.0,0.0,0.0,3.533122727757794
2018-05-06,4.554493933597847,-0.005319625838105729,7.693057435688248,4.554493933597847,4.554493933597847,-0.7585729839271299,-0.7585729839271299,-0.7585729839271299,-0.7585729839271299,-0.7585729839271299,-0.7585729839271299,0.0,0.0,0.0,3.795920949670717
2018-05-13,4.65078353247669,1.2030117097419117,9.125165279735983,4.65078353247669,4.65078353247669,0.4207797893139564,0.4207797893139564,0.4207797893139564,0.4207797893139564,0.4207797893139564,0.4207797893139564,0.0,0.0,0.0,5.071563321790646
2018-05-20,4.747073131355534,1.9989090561955511,9.732217781935724,4.747073131355534,4.747073131355534,1.1541562320520882,1.1541562320520882,1.1541562320520882,1.1541562320520882,1.1541562320520882,1.1541562320520882,0.0,0.0,0.0,5.901229363407622
2018-05-27,4.843362730240707,1.178522921917532,8.960769160121778,4.843362730240707,4.843362730240707,0.41054120717318965,0.41054120717318965,0.41054120717318965,0.41054120717318965,0.41054120717318965,0.41054120717318965,0.0,0.0,0.0,5.253903937413897
2018-06-03,4.939652329138803,-0.2576288712628128,7.240029723286302,4.939652329138803,4.939652329138803,-1.2505864363199963,-1.2505864363199963,-1.2505864363199963,-1.2505864363199963,-1.2505864363199963,-1.2505864363199963,0.0,0.0,0.0,3.6890658928188067
2018-06-10,5.035941928036899,-1.0285497973878213,6.565112644011296,5.035941928036899,5.035941928036899,-2.3892839057182758,-2.3892839057182758,-2.3892839057182758,-2.3892839057182758,-2.3892839057182758,-2.3892839057182758,0.0,0.0,0.0,2.6466580223186233
2018-06-17,5.13223152689734,-1.3394067319165839,7.037101864704712,5.13223152689734,5.13223152689734,-2.3689658164527687,-2.3689658164527687,-2.3689658164527687,-2.3689658164527687,-2.3689658164527687,-2.3689658164527687,0.0,0.0,0.0,2.7632657104445713
2018-06-24,5.228521125757781,-0.5130118279907528,7.175094527907602,5.228521125757781,5.228521125757781,-2.000008097686004,-2.000008097686004,-2.000008097686004,-2.000008097686004,-2.000008097686004,-2.000008097686004,0.0,0.0,0.0,3.228513028071777
2018-07-01,5.324810724618222,-1.029225876291447,6.674555138675801,5.324810724618222,5.324810724618222,-2.4289168301433794,-2.4289168301433794,-2.4289168301433794,-2.4289168301433794,-2.4289168301433794,-2.4289168301433794,0.0,0.0,0.0,2.8958938944748422
2018-07-08,5.4211003234786626,-2.143001309817924,5.68110568941026,5.4211003234786626,5.4211003234786626,-3.6435696732350777,-3.6435696732350777,-3.6435696732350777,-3.6435696732350777,-3.6435696732350777,-3.6435696732350777,0.0,0.0,0.0,1.7775306502435848
2018-07-15,5.517389922339103,-2.585363651141655,5.019164389358478,5.517389922339103,5.517389922339103,-4.361289348380076,-4.361289348380076,-4.361289348380076,-4.361289348380076,-4.361289348380076,-4.361289348380076,0.0,0.0,0.0,1.1561005739590273
2018-07-22,5.613679521199543,-1.6502767409252412,6.047242744200942,5.613679521199543,5.613679521199543,-3.406132521028509,-3.406132521028509,-3.406132521028509,-3.406132521028509,-3.406132521028509,-3.406132521028509,0.0,0.0,0.0,2.2075470001710342
2018-07-29,5.709969120059984,0.8540194094223676,8.363509042795885,5.709969120059984,5.709969120059984,-0.9990851850279879,-0.9990851850279879,-0.9990851850279879,-0.9990851850279879,-0.9990851850279879,-0.9990851850279879,0.0,0.0,0.0,4.710883935031997
2018-08-05,5.806258718920425,3.449625296238125,11.08360240687118,5.806258718920425,5.806258718920425,1.4154859509345887,1.4154859509345887,1.4154859509345887,1.4154859509345887,1.4154859509345887,1.4154859509345887,0.0,0.0,0.0,7.221744669855013
2018-08-12,5.902548317780866,4.517527943291481,12.470647422710764,5.902548317780866,5.902548317780866,2.5039560082570067,2.5039560082570067,2.5039560082570067,2.5039560082570067,2.5039560082570067,2.5039560082570067,0.0,0.0,0.0,8.406504326037872
2018-08-19,5.998837916641307,4.032401844084729,11.726904847810689,5.998837916641307,5.998837916641307,2.089751413403574,2.089751413403574,2.089751413403574,2.089751413403574,2.089751413403574,2.089751413403574,0.0,0.0,0.0,8.088589330044881
2018-08-26,6.095127515501748,3.168649760531544,11.123837653484323,6.095127515501748,6.095127515501748,1.005775007292891,1.005775007292891,1.005775007292891,1.005775007292891,1.005775007292891,1.005775007292891,0.0,0.0,0.0,7.100902522794639
2018-09-02,6.191417114362189,2.3724596906724056,10.34311884429217,6.191417111350595,6.191417117078829,0.19348409014335624,0.19348409014335624,0.19348409014335624,0.19348409014335624,0.19348409014335624,0.19348409014335624,0.0,0.0,0.0,6.384901204505545
2018-09-09,6.287706713222629,2.1909960450043218,10.330991878558539,6.2877067036331065,6.287706722048824,0.04993534561872156,0.04993534561872156,0.04993534561872156,0.04993534561872156,0.04993534561872156,0.04993534561872156,0.0,0.0,0.0,6.337642058841351
2018-09-16,6.38399631208307,2.8900784586064705,10.566919665514922,6.383996293994132,6.383996327328033,0.426017870734951,0.426017870734951,0.426017870734951,0.426017870734951,0.426017870734951,0.426017870734951,0.0,0.0,0.0,6.810014182818021
2018-09-23,6.480285910943511,3.950174895997581,11.39842118675355,6.480285882535078,6.480285936130728,0.9241773416204406,0.9241773416204406,0.9241773416204406,0.9241773416204406,0.9241773416204406,0.9241773416204406,0.0,0.0,0.0,7.404463252563952
2018-09-30,6.576575509803952,3.4571316248208626,11.636780659352318,6.576575471318469,6.576575544743419,1.1113040644817986,1.1113040644817986,1.1113040644817986,1.1113040644817986,1.1113040644817986,1.1113040644817986,0.0,0.0,0.0,7.68787957428575
2018-10-07,6.672865108664392,3.65778524327216,11.325039731824775,6.672865059273484,6.672865154529,0.678342574584917,0.678342574584917,0.678342574584917,0.678342574584917,0.678342574584917,0.678342574584917,0.0,0.0,0.0,7.351207683249309
2018-10-14,6.769154707524833,2.677314598126036,10.395213239095362,6.769154644751819,6.769154764777223,-0.33240421879409543,-0.33240421879409543,-0.33240421879409543,-0.33240421879409543,-0.33240421879409543,-0.33240421879409543,0.0,0.0,0.0,6.436750488730738
2018-10-21,6.865444306385274,1.741840711995274,9.334674125631715,6.86544422812669,6.865444375287412,-1.426666455479836,-1.426666455479836,-1.426666455479836,-1.426666455479836,-1.426666455479836,-1.426666455479836,0.0,0.0,0.0,5.438777850905438
2018-10-28,6.961733905245715,1.2804362340461415,9.012724497491334,6.9617338142515255,6.961733985313556,-1.9570312072815934,-1.9570312072815934,-1.9570312072815934,-1.9570312072815934,-1.9570312072815934,-1.9570312072815934,0.0,0.0,0.0,5.004702697964121
2018-11-04,7.0580235041061545,1.7494990541242719,9.339067989028294,7.058023400332223,7.058023595601906,-1.647490781990241,-1.647490781990241,-1.647490781990241,-1.647490781990241,-1.647490781990241,-1.647490781990241,0.0,0.0,0.0,5.410532722115914
2018-11-11,7.154313102966595,2.706816021744737,10.241285234747341,7.1543129854544345,7.1543132078812866,-0.7911859365947228,-0.7911859365947228,-0.7911859365947228,-0.7911859365947228,-0.7911859365947228,-0.7911859365947228,0.0,0.0,0.0,6.363127166371872
2018-11-18,7.250602701827036,3.2058323274670903,11.624149403989293,7.250602570863252,7.250602822664894,0.10831740703667699,0.10831740703667699,0.10831740703667699,0.10831740703667699,0.10831740703667699,0.10831740703667699,0.0,0.0,0.0,7.358920108863713
